Authors,Titles,Year,Page count,Link
Hysenllari E.; Ottenbacher J.; McLennan D.,Validation of human activity recognition using a convolutional neural network on accelerometer and gyroscope data; [Validierung der Erkennung menschlicher Aktivitäten mittels eines neuronalen Faltungsnetzes anhand von Beschleunigungs- und Gyroskopdaten],2022,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129508664&doi=10.1007%2fs12662-022-00817-y&partnerID=40&md5=801ca885dd8d5991678ffc8b9bef6ff5
Durga K.M.L.; Jyotsna P.; Kumar G.K.,A Deep Learning based Human Activity Recognition Model using Long Short Term Memory Networks,2022,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130095296&doi=10.1109%2fICSCDS53736.2022.9760794&partnerID=40&md5=ff3cb240d0639669388ee3bc7ed684bf
Diamantidou E.; Giakoumis D.; Votis K.; Tzovaras D.; Likothanassis S.,Comparing Deep Learning and Human Crafted Features for Recognising Hand Activities of Daily Living from Wearables,2022,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137589922&doi=10.1109%2fMDM55031.2022.00085&partnerID=40&md5=152a13ddbab911c46961401b8d13701c
Ankalaki S.; Thippeswamy M.N.,A customized 1D-CNN approach for sensor-based human activity recognition,2022,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128385981&doi=10.19101%2fIJATEE.2021.874828&partnerID=40&md5=18d1b5a7efe1316f4766f543212747a0
Zhang S.; Li Y.; Zhang S.; Shahabi F.; Xia S.; Deng Y.; Alshurafa N.,Deep Learning in Human Activity Recognition withWearable Sensors: A Review on Advances,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125421103&doi=10.3390%2fs22041476&partnerID=40&md5=c45c7a9e88d180fac908b23e5444cb3e
Najeh H.; Lohr C.; Leduc B.,Towards supervised real-time human activity recognition on embedded equipment,2022,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135869050&doi=10.1109%2fMetroLivEnv54405.2022.9826937&partnerID=40&md5=50627e0572eca6da06e949c0ba433da1
Xaviar S.,Robust and Affordable Deep Learning Models for Multimodal Sensor Fusion,2021,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120875357&doi=10.1145%2f3485730.3492897&partnerID=40&md5=d4016bd77c2e0c099a5fc4f1e62ec3dd
Kasnesis P.; Chatzigeorgiou C.; Patrikakis C.Z.; Rangoussi M.,Modality-wise relational reasoning for one-shot sensor-based activity recognition,2021,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103294943&doi=10.1016%2fj.patrec.2021.03.003&partnerID=40&md5=88b7d3cbd498e9923076606308d77fd9
Chen D.; Yongchareon S.; Lai E.M.-K.; Sheng Q.Z.; Liesaputra V.,Locally Weighted Ensemble-Detection-Based Adaptive Random Forest Classifier for Sensor-Based Online Activity Recognition for Multiple Residents,2022,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122567436&doi=10.1109%2fJIOT.2021.3139330&partnerID=40&md5=e9afa7cba6d1a86db14502a80086f451
Pedram M.; Sah R.K.; Rokni S.A.; Nourollahi M.; Ghasemzadeh H.,Probabilistic Cascading Classifier for Energy-Efficient Activity Monitoring in Wearables,2022,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130447160&doi=10.1109%2fJSEN.2022.3175881&partnerID=40&md5=1623f1a976baff3c0691a0516794cb58
Khan Y.A.; Imaduddin S.; Prabhat R.; Wajid M.,Classification of Human Motion Activities using Mobile Phone Sensors and Deep Learning Model,2022,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133184595&doi=10.1109%2fICACCS54159.2022.9785009&partnerID=40&md5=6b4ddd71a5cfdef513f744eb893b4887
Ghosal S.; Sarkar M.; Sarkar R.,NoFED-Net: Nonlinear Fuzzy Ensemble of Deep Neural Networks for Human Activity Recognition,2022,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125697122&doi=10.1109%2fJIOT.2022.3155560&partnerID=40&md5=576600d25431e3173dc5cd3f75c2fe75
Qi W.; Su H.,A Cybertwin Based Multimodal Network for ECG Patterns Monitoring Using Deep Learning,2022,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126524429&doi=10.1109%2fTII.2022.3159583&partnerID=40&md5=3e7f9229a6c53f48bda8b226474dbf31
Gupta S.,Deep learning based human activity recognition (HAR) using wearable sensor data,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121965423&doi=10.1016%2fj.jjimei.2021.100046&partnerID=40&md5=708cecc6e032be2a1ad33d8408d709fc
Suh S.; Rey V.F.; Lukowicz P.,Adversarial Deep Feature Extraction Network for User Independent Human Activity Recognition,2022,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129984917&doi=10.1109%2fPerCom53586.2022.9762387&partnerID=40&md5=e460448cf6cf395ea56cd95db328385d
Pellatt L.; Roggen D.,Speeding up deep neural architecture search for wearable activity recognition with early prediction of converged performance,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140338952&doi=10.3389%2ffcomp.2022.914330&partnerID=40&md5=7f86e8a31b498be6fa799e56b703ae8a
Lattanzi E.; Donati M.; Freschi V.,Exploring Artificial Neural Networks Efficiency in Tiny Wearable Devices for Human Activity Recognition,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127205499&doi=10.3390%2fs22072637&partnerID=40&md5=0a60e61833899bc5b7022ea8c8f39c72
Andreoni G.; Cassiolas G.; Standoli C.E.; Lenzi S.E.; Perego P.; Lopomo N.F.,Automatic Classification of Working Activities for Risk Assessment in Large-Scale Retail Distribution by Using Wearable Sensors: A Preliminary Analysis,2022,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133012261&doi=10.1007%2f978-3-031-06018-2_10&partnerID=40&md5=686b238e8526a3ea38d44e3dfd88f214
Imran H.A.,Khail-Net: A Shallow Convolutional Neural Network for Recognizing Sports Activities Using Wearable Inertial Sensors,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136081777&doi=10.1109%2fLSENS.2022.3197396&partnerID=40&md5=b225a95d608cb55272ba34bf082e0335
Hannan A.; Shafiq M.Z.; Hussain F.; Pires I.M.,A portable smart fitness suite for real-time exercise monitoring and posture correction,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116553715&doi=10.3390%2fs21196692&partnerID=40&md5=7d6b834857d804be32326fea8ef5ef59
Ai D.; Hao R.; Feng C.; Li Y.; Liu Y.,Simultaneous Recognition Algorithm of Human Activity and Phone Position Based on Multi-sensor Data Fusion,2022,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133769241&doi=10.1145%2f3532342.3532345&partnerID=40&md5=9af441f286e08aa6eb571467a0af7377
Yadav S.K.; Deshmukh A.; Gonela R.V.; Kera S.B.; Tiwari K.; Pandey H.M.; Akbar S.A.,MS-KARD: A Benchmark for Multimodal Karate Action Recognition,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140775014&doi=10.1109%2fIJCNN55064.2022.9892646&partnerID=40&md5=7a6d1dce1441272c66092269c3e4945d
Ige A.O.; Mohd Noor M.H.,A survey on unsupervised learning for wearable sensor-based activity recognition,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135340081&doi=10.1016%2fj.asoc.2022.109363&partnerID=40&md5=7d40c79abb937753c86c6477424982b3
Erdaş Ç.B.; Güney S.,Human Activity Recognition by Using Different Deep Learning Approaches for Wearable Sensors,2021,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101264912&doi=10.1007%2fs11063-021-10448-3&partnerID=40&md5=22d6decb89bad192dfcc33c9b9541ead
Roy D.; Girdzijauskas S.; Socolovschi S.,Confidence-calibrated human activity recognition,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116672506&doi=10.3390%2fs21196566&partnerID=40&md5=950c5cfcbee482641227d82ea4c85e4f
Atri R.; Urban K.; Marebwa B.; Simuni T.; Tanner C.; Siderowf A.; Frasier M.; Haas M.; Lancashire L.,Deep Learning for Daily Monitoring of Parkinson’s Disease Outside the Clinic Using Wearable Sensors,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138790307&doi=10.3390%2fs22186831&partnerID=40&md5=ccca4dd02bf6d9f348d77d807c70ed32
Mekruksavanich S.; Jantawong P.; Jitpattanakul A.,Deep Residual Networks for Human Activity Recognition based on Biosignals from Wearable Devices,2022,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138037432&doi=10.1109%2fTSP55681.2022.9851249&partnerID=40&md5=5a1d2740fa441f72cc691af2789287e8
Luwe Y.J.; Lee C.P.; Lim K.M.,Wearable Sensor-Based Human Activity Recognition with Hybrid Deep Learning Model,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136015805&doi=10.3390%2finformatics9030056&partnerID=40&md5=6107e5e5eb657b587cb4d241a78cf614
Boukhennoufa I.; Zhai X.; Utti V.; Jackson J.; McDonald-Maier K.D.,Encoding Sensors’ Data into Images to Improve the Activity Recognition in Post Stroke Rehabilitation Assessment,2022,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132120298&doi=10.1007%2f978-3-031-09282-4_10&partnerID=40&md5=62322aea1362b538db6d0f01e2b46300
Pellatt L.; Bock M.; Roggen D.; Van Laerhoven K.,A Public Repository to Improve Replicability and Collaboration in Deep Learning for HAR*,2022,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130609966&doi=10.1109%2fPerComWorkshops53856.2022.9767436&partnerID=40&md5=79bfc065326ffc572bc5659f6714f706
Guo R.; Cheng X.; Hou Z.-C.; Ma J.-Z.; Zheng W.-Q.; Wu X.-M.; Jiang D.; Pan Y.; Ren T.-L.,A Shoe-Integrated Sensor System for Long- Term Center of Pressure Evaluation,2021,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118620157&doi=10.1109%2fJSEN.2021.3116249&partnerID=40&md5=2c851d1c95d7cff86dc0501115c4f74f
Mekruksavanich S.; Jantawong P.; Jitpattanakul A.,Recognition of Complex Human Activities for Wellness Management from Smartwatch using Deep Residual Neural Network,2022,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127594603&doi=10.1109%2fECTIDAMTNCON53731.2022.9720389&partnerID=40&md5=59b2732d5fbdfdea567e5cdad4c394eb
Tusar Z.R.; Islam M.; Sharmin S.,Accelerometer based Complex Nurse Care Activity Recognition using Machine Learning Approach,2021,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115962336&doi=10.1145%2f3460418.3479390&partnerID=40&md5=a9fcc6b5c1ec06829b6f9352eb9bdff6
Roy D.; Girdzijauskas S.,Mixing temporal experts for Human Activity Recognition,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136111184&doi=10.1109%2fSAIS55783.2022.9833028&partnerID=40&md5=c8a201eed37d89bf171772935da8c337
Hao Y.; Zheng R.; Wang B.,Invariant Feature Learning for Sensor-Based Human Activity Recognition,2022,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102656632&doi=10.1109%2fTMC.2021.3064252&partnerID=40&md5=1741fea9d49ffb95e6664d55d6bb4970
Saeed U.; Kumar K.; Laghari A.A.; Khuhro M.A.; Islam N.; Shaikh G.M.; Hussain F.; Shaikh A.A.,A comparative analysis of classification techniques for human activity recognition using wearable sensors and smart-phones,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132153576&doi=10.4108%2feai.2-11-2021.171752&partnerID=40&md5=bd8e8f86c6b8be077397c3b11ce7df95
Pan T.; Huang Z.; Ye Y.; Cheng Y.; He W.; Wang C.,Joint Transfer Strategy for Cross-Domain Human Activity Recognition,2021,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112800327&doi=10.1109%2fICET51757.2021.9451080&partnerID=40&md5=cb704de061f5a02b778d4e676920ab94
Shang M.; De Raedt W.; Varon C.; Vanrumste B.,Are Gyroscopes an Added Value in Leave-One-Subject-Out Activity Recognition with IMUs?,2022,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138127480&doi=10.1109%2fEMBC48229.2022.9871845&partnerID=40&md5=b8962ea391be7f542bb2c0866db70fe2
Jain R.; Semwal V.B.; Kaushik P.,Deep ensemble learning approach for lower extremity activities recognition using wearable sensors,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107593550&doi=10.1111%2fexsy.12743&partnerID=40&md5=78e6695c5f806dbe5b666a78ee6c5fa0
Mekruksavanich S.; Jantawong P.; Hnoohom N.; Jitpattanakul A.,Deep Learning Networks for Eating and Drinking Recognition based on Smartwatch Sensors,2022,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141791034&doi=10.1109%2fRI2C56397.2022.9910318&partnerID=40&md5=3e58df627b82666924aee1cd359b08e9
Xu Q.; Wei X.; Bai R.; Li S.; Meng Z.,Integration of deep adaptation transfer learning and online sequential extreme learning machine for cross-person and cross-position activity recognition,2023,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138450117&doi=10.1016%2fj.eswa.2022.118807&partnerID=40&md5=5f042fb65422bdd4a7835112ed130057
Han C.; Zhang L.; Tang Y.; Huang W.; Min F.; He J.,Human activity recognition using wearable sensors by heterogeneous convolutional neural networks,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126589174&doi=10.1016%2fj.eswa.2022.116764&partnerID=40&md5=54fe25a9051d4a52f90e5fc0de973671
Xu S.; Zhang L.; Huang W.; Wu H.; Song A.,Deformable Convolutional Networks for Multimodal Human Activity Recognition Using Wearable Sensors,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126269289&doi=10.1109%2fTIM.2022.3158427&partnerID=40&md5=1e7a1e8199ab7aa9a51b40382f666598
Celik Y.; Stuart S.; Woo W.L.; Pearson L.T.; Godfrey A.,Exploring human activity recognition using feature level fusion of inertial and electromyography data,2022,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138128674&doi=10.1109%2fEMBC48229.2022.9870909&partnerID=40&md5=6204d2533c0c147a47e8af6d20de445c
Dhammi L.; Tewari P.,Classification of human activities using data captured through a smartphone using deep learning techniques,2021,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112839344&doi=10.1109%2fICSPC51351.2021.9451772&partnerID=40&md5=7f03ed85dab8b413c438bbae3b0151ac
Nazari F.; Mohajer N.; Nahavandi D.; Khosravi A.; Nahavandi S.,Comparison Study of Inertial Sensor Signal Combination for Human Activity Recognition based on Convolutional Neural Networks,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137882899&doi=10.1109%2fHSI55341.2022.9869457&partnerID=40&md5=b45fa1da7c5812fec24252457b8fdfff
Yu Z.; Taha A.; Taylor W.; Zahid A.; Rajab K.; Heidari H.; Imran M.A.; Abbasi Q.H.,A Radar-Based Human Activity Recognition Using a Novel 3-D Point Cloud Classifier,2022,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136632983&doi=10.1109%2fJSEN.2022.3198395&partnerID=40&md5=1a995cf7b5b851e279554967938266ab
Xu G.; Wan Q.; Deng W.; Guo T.; Cheng J.,Smart-Sleeve: A Wearable Textile Pressure Sensor Array for Human Activity Recognition,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125055314&doi=10.3390%2fs22051702&partnerID=40&md5=85d20b566133bfa78343e0d054b95b73
Franchak J.M.; Scott V.; Luo C.,"A Contactless Method for Measuring Full-Day, Naturalistic Motor Behavior Using Wearable Inertial Sensors",2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118735565&doi=10.3389%2ffpsyg.2021.701343&partnerID=40&md5=3bd6276d8e86a867fd5d693f12872210
Gunthermann L.; Pellatt L.; Roggen D.,Slow Feature Preprocessing in Deep Neural Networks for Wearable Sensor-Based Locomotion Recognition,2022,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130593025&doi=10.1109%2fPerComWorkshops53856.2022.9767511&partnerID=40&md5=dd1b03732e22402983aec411997737ba
Hamidi M.; Osmani A.,Human activity recognition: A dynamic inductive bias selection perspective,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118886641&doi=10.3390%2fs21217278&partnerID=40&md5=a57b16d548c10e80085c2a139712ade2
Hamad R.A.; Yang L.; Woo W.L.; Wei B.,Cross-Domain Activity Recognition Using Shared Representation in Sensor Data,2022,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131766013&doi=10.1109%2fJSEN.2022.3178083&partnerID=40&md5=ec29dbc7cbd5c34aadacad8055cc75f5
Poulose A.; Kim J.H.; Han D.S.,HIT HAR: Human Image Threshing Machine for Human Activity Recognition Using Deep Learning Models,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139888972&doi=10.1155%2f2022%2f1808990&partnerID=40&md5=9951e6ecced5121a7186b6d357b31d9d
Mekruksavanich S.; Jantawong P.; Hnoohom N.; Jitpattanakul A.,A Novel Deep BiGRU-ResNet Model for Human Activity Recognition using Smartphone Sensors,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136230076&doi=10.1109%2fJCSSE54890.2022.9836276&partnerID=40&md5=f1a8cf7f0ffc7dcc345d7df7c909aad2
Liu R.; Ramli A.A.; Zhang H.; Henricson E.; Liu X.,An Overview of Human Activity Recognition Using Wearable Sensors: Healthcare and Artificial Intelligence,2022,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126244852&doi=10.1007%2f978-3-030-96068-1_1&partnerID=40&md5=d24d897da97e1284f496c6070f20dbfb
Yaegashi R.; Nakayama Y.; Matsuki M.; Yasunaga R.; Katsurai M.,First Experimental Results on Real-Time Cleaning Activity Monitoring System,2022,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135729285&doi=10.1109%2fCCNC49033.2022.9700613&partnerID=40&md5=047ced6fe5b733aa99246d295a3750ab
Zhang L.; Zhu Y.; Jiang M.; Wu Y.; Deng K.; Ni Q.,Body temperature monitoring for regular covid-19 prevention based on human daily activity recognition,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118888374&doi=10.3390%2fs21227540&partnerID=40&md5=fa096e96159c187e8921170f0ee08eb6
Mascret Q.; Gagnon-Turcotte G.; Bielmann M.; Fall C.L.; Bouyer L.J.; Gosselin B.,A Wearable Sensor Network With Embedded Machine Learning for Real-Time Motion Analysis and Complex Posture Detection,2022,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122582429&doi=10.1109%2fJSEN.2021.3139588&partnerID=40&md5=fa4c02012a6f5d8608c2cc17b2b0ca3f
Jaén-Vargas M.; Reyes Leiva K.; Fernandes F.; Gonçalves S.B.; Tavares Silva M.; Lopes D.S.; Serrano Olmedo J.,A deep learning approach to recognize human activity using inertial sensors and motion capture systems,2021,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119187724&doi=10.3233%2fFAIA210196&partnerID=40&md5=7f3c866dbd883793fd26874abe2edc34
Schiboni G.; Vicario C.M.; Suarez J.C.; Cruciani F.; Amft O.,Context-Adaptive Sub-Nyquist Sampling for Low-Power Wearable Sensing Systems,2022,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105870331&doi=10.1109%2fTMC.2021.3077731&partnerID=40&md5=1898ece0b752a396b6f523ea4c8773de
Osmani A.; Hamidi M.,Reduction of the Position Bias via Multi-level Learning for Activity Recognition,2022,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130217086&doi=10.1007%2f978-3-031-05936-0_23&partnerID=40&md5=45071703dba8bf036352f82620cb29b2
Mekruksavanich S.; Jantawong P.; Hnoohom N.; Jitpattanakul A.,Wearable-based Activity Recognition of Construction Workers using LSTM Neural Networks,2022,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140637328&doi=10.1109%2fITC-CSCC55581.2022.9894868&partnerID=40&md5=ef151fce63a0cbd224d2a220976c7951
Muangprathub J.; Sriwichian A.; Wanichsombat A.; Kajornkasirat S.; Nillaor P.; Boonjing V.,A novel elderly tracking system using machine learning to classify signals from mobile and wearable sensors,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120062276&doi=10.3390%2fijerph182312652&partnerID=40&md5=66823f01d77ee583476b55c4149808cc
Hossain Arib S.; Akter R.; Shahid O.; Ahad M.A.R.,Classical Machine Learning Approach for Human Activity Recognition Using Location Data,2021,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115918166&doi=10.1145%2f3460418.3479376&partnerID=40&md5=dc6769c24980a81667d3843ce5744fef
Bijalwan V.; Semwal V.B.; Gupta V.,Wearable sensor-based pattern mining for human activity recognition: deep learning approach,2022,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103658765&doi=10.1108%2fIR-09-2020-0187&partnerID=40&md5=e21dc2bcd15a2cc94745f4fa963cba04
Hnoohom N.; Maitrichit N.; Mekruksavanich S.; Jitpattanakul A.,Deep Learning Approaches for Unobtrusive Human Activity Recognition using Insole-based and Smartwatch Sensors,2022,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141600530&doi=10.1109%2fIBDAP55587.2022.9907414&partnerID=40&md5=209ee4db121e7b0392536677034b0120
Liu L.; He J.; Ren K.; Lungu J.; Hou Y.; Dong R.,An information gain-based model and an attention-based RNN for wearable human activity recognition,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121232041&doi=10.3390%2fe23121635&partnerID=40&md5=a56a3a22dd36277432a67243bb4b28b2
Nastos V.; Arjmand A.; Tsakai K.; Dimopoulos D.; Varvarousis D.; Tzallas A.; Giannakeas N.; Ploumis A.; Gogos C.,Human Activity Recognition using Machine Learning Techniques,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142260742&doi=10.1109%2fSEEDA-CECNSM57760.2022.9932971&partnerID=40&md5=78a16555313e3b519c9de1f6b7881a58
Hao Y.; Wang B.; Zheng R.,CROMOSim: A Deep Learning-based Cross-modality Inertial Measurement Simulator,2022,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134310816&doi=10.1109%2fCPHS56133.2022.9804560&partnerID=40&md5=35211cd37a6195263388e6220db20a48
Sekiguchi R.; Abe K.; Shogo S.; Kumano M.; Asakura D.; Okabe R.; Kariya T.; Kawakatsu M.,Phased Human Activity Recognition based on GPS,2021,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115912984&doi=10.1145%2f3460418.3479382&partnerID=40&md5=d1f700b270d72a2cc17c5a4eef0f6f49
De Vita A.; Pau D.; Di Benedetto L.; Rubino A.; Pétrot F.; Licciardo G.D.,Highly-accurate binary tiny neural network for low-power human activity recognition,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118834748&doi=10.1016%2fj.micpro.2021.104371&partnerID=40&md5=16570d58fa6ae0fe02d8a3258be813aa
Xiao Z.; Xu X.; Xing H.; Song F.; Wang X.; Zhao B.,A federated learning system with enhanced feature extraction for human activity recognition,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111614026&doi=10.1016%2fj.knosys.2021.107338&partnerID=40&md5=9aa4828e541668ae932f07272b144f9e
Shi W.; Fang X.; Yang G.; Huang J.,Human Activity Recognition Based on Multichannel Convolutional Neural Network With Data Augmentation,2022,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135217827&doi=10.1109%2fACCESS.2022.3192452&partnerID=40&md5=eecd1a869167b4360796aefd3f5a9365
Zhang X.; Yu H.; Yang Y.; Gu J.; Li Y.; Zhuang F.; Yu D.; Ren Z.,HarMI: Human Activity Recognition Via Multi-Modality Incremental Learning,2022,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107334113&doi=10.1109%2fJBHI.2021.3085602&partnerID=40&md5=3bb6f575b25f0deb4301bb5851a44264
Iabanzhi L.; Astrakhan M.; Tyshevskyi P.,Location-based Human Activity Recognition Using Long-Term Deep Learning Invariant Mapping,2021,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115966805&doi=10.1145%2f3460418.3479381&partnerID=40&md5=04cfa37b61a4b034494e26c37098389f
Rahman A.; Hassan I.; Ahad M.A.R.,Nurse Care Activity Recognition: A Cost-Sensitive Ensemble Approach to Handle Imbalanced Class Problem in the Wild,2021,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115971392&doi=10.1145%2f3460418.3479389&partnerID=40&md5=4e93198a423b33463b9f6b1c835e8523
,"6th International Conference on Internet of Things, ICIOT 2021",2022,120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126256049&partnerID=40&md5=ca4ef030b5f318e81202ff88f8f68a4a
Ramanujam E.; Perumal T.; Padmavathi S.,Human Activity Recognition with Smartphone and Wearable Sensors Using Deep Learning Techniques: A Review,2021,11731,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103797183&doi=10.1109%2fJSEN.2021.3069927&partnerID=40&md5=54cae0bc733fb733a760622ee38e11f7
,ICC 2022 - IEEE International Conference on Communications,2022,5758,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137341062&partnerID=40&md5=37ffc079fd7db4af55a1efedbb259ff3
Sengupta R.; Polian I.; Hayes J.P.,Wavelet Transform Assisted Neural Networks for Human Activity Recognition,2022,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142478657&doi=10.1109%2fISCAS48785.2022.9937939&partnerID=40&md5=6dcb9ef437b1ab812981d362c850c335
Shakerian R.; Yadollahzadeh-Tabari M.; Bozorgi Rad S.Y.,Proposing a Fuzzy Soft-max-based classifier in a hybrid deep learning architecture for human activity recognition,2022,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124471520&doi=10.1049%2fbme2.12066&partnerID=40&md5=63ba70b664503883e93fafb34af1b1b8
Mekruksavanich S.; Jitpattanakul A.,Multimodal Wearable Sensing for Sport-Related Activity Recognition Using Deep Learning Networks,2022,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126994068&doi=10.12720%2fjait.13.2.132-138&partnerID=40&md5=02fd092763e274514b19212c443c9e70
Gao W.; Zhang L.; Teng Q.; He J.; Wu H.,DanHAR: Dual Attention Network for multimodal human activity recognition using wearable sensors,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111039091&doi=10.1016%2fj.asoc.2021.107728&partnerID=40&md5=61b321112cdc85fc271fac07699e7676
Guinea A.S.; Sarabchian M.; Mühlhäuser M.,Improving Wearable-Based Activity Recognition Using Image Representations,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125039698&doi=10.3390%2fs22051840&partnerID=40&md5=327513f6a00e9ba02de320bf00bcf5ea
Sanabria A.R.; Zambonelli F.; Dobson S.; Ye J.,ContrasGAN: Unsupervised domain adaptation in Human Activity Recognition via adversarial and contrastive learning,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119333188&doi=10.1016%2fj.pmcj.2021.101477&partnerID=40&md5=e744d404cf13827532b9e9a1e83d707a
Mekruksavanich S.; Jantawong P.; Hnoohom N.; Jitpattanakul A.,Heterogeneous Recognition of Human Activity with CNN and RNN-based Networks using Smartphone and Smartwatch Sensors,2022,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141549215&doi=10.1109%2fIBDAP55587.2022.9907460&partnerID=40&md5=1e00821c158be90867b698a4dc95483e
Tong L.; Ma H.; Lin Q.; He J.; Peng L.,A Novel Deep Learning Bi-GRU-I Model for Real-Time Human Activity Recognition Using Inertial Sensors,2022,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124243358&doi=10.1109%2fJSEN.2022.3148431&partnerID=40&md5=fdee44e166da79104b23341e57bdc314
Mekruksavanich S.; Jantawong P.; Hnoohom N.; Jitpattanakul A.,"Classification of Physical Exercise Activity from ECG, PPG and IMU Sensors using Deep Residual Network",2022,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141802784&doi=10.1109%2fRI2C56397.2022.9910287&partnerID=40&md5=566a7391bca4b58869ee50c6667c31d7
